name,path
zinx,https://github.com/aceld/zinx
semaphore,https://github.com/semaphoreui/semaphore
aptly,https://github.com/aptly-dev/aptly
protoactor-go,https://github.com/asynkron/protoactor-go
amazon-ecs-agent,https://github.com/aws/amazon-ecs-agent
bfe,https://github.com/bfenetworks/bfe
bettercap,https://github.com/bettercap/bettercap
btcd,https://github.com/btcsuite/btcd
cockroach,https://github.com/cockroachdb/cockroach
concourse,https://github.com/concourse/concourse
containerd,https://github.com/containerd/containerd
cni,https://github.com/containernetworking/cni
buildah,https://github.com/containers/buildah
podman,https://github.com/containers/podman
skopeo,https://github.com/containers/skopeo
traefik,https://github.com/traefik/traefik
prometheus-operator,https://github.com/prometheus-operator/prometheus-operator
nvm-windows,https://github.com/coreybutler/nvm-windows
cortex,https://github.com/cortexproject/cortex
cosmos-sdk,https://github.com/cosmos/cosmos-sdk
cri-o,https://github.com/cri-o/cri-o
crossplane,https://github.com/crossplane/crossplane
dapr,https://github.com/dapr/dapr
dex,https://github.com/dexidp/dex
direnv,https://github.com/direnv/direnv
dnscrypt-proxy,https://github.com/DNSCrypt/dnscrypt-proxy
cli,https://github.com/docker/cli
distribution,https://github.com/distribution/distribution
goproxy,https://github.com/elazarl/goproxy
bbolt,https://github.com/etcd-io/bbolt
etcd,https://github.com/etcd-io/etcd
fabio,https://github.com/fabiolb/fabio
fyne,https://github.com/fyne-io/fyne
git-lfs,https://github.com/git-lfs/git-lfs
colly,https://github.com/gocolly/colly
gf,https://github.com/gogf/gf
migrate,https://github.com/golang-migrate/migrate
golangci-lint,https://github.com/golangci/golangci-lint
rainbond,https://github.com/goodrain/rainbond
gvisor,https://github.com/google/gvisor
gopherjs,https://github.com/gopherjs/gopherjs
goreleaser,https://github.com/goreleaser/goreleaser
terratest,https://github.com/gruntwork-io/terratest
hcl,https://github.com/hashicorp/hcl
nomad,https://github.com/hashicorp/nomad
packer,https://github.com/hashicorp/packer
raft,https://github.com/hashicorp/raft
terraform,https://github.com/hashicorp/terraform
helm,https://github.com/helm/helm
imgproxy,https://github.com/imgproxy/imgproxy
kubo,https://github.com/ipfs/kubo
pgx,https://github.com/jackc/pgx
connect,https://github.com/redpanda-data/connect
jx,https://github.com/jenkins-x/jx
lazygit,https://github.com/jesseduffield/lazygit
cert-manager,https://github.com/cert-manager/cert-manager
juju,https://github.com/juju/juju
kubeedge,https://github.com/kubeedge/kubeedge
external-dns,https://github.com/kubernetes-sigs/external-dns
kubebuilder,https://github.com/kubernetes-sigs/kubebuilder
kustomize,https://github.com/kubernetes-sigs/kustomize
autoscaler,https://github.com/kubernetes/autoscaler
kompose,https://github.com/kubernetes/kompose
kops,https://github.com/kubernetes/kops
kube-state-metrics,https://github.com/kubernetes/kube-state-metrics
minikube,https://github.com/kubernetes/minikube
kubesphere,https://github.com/kubesphere/kubesphere
kubevirt,https://github.com/kubevirt/kubevirt
go-libp2p,https://github.com/libp2p/go-libp2p
lnd,https://github.com/lightningnetwork/lnd
Burrow,https://github.com/linkedin/Burrow
k6,https://github.com/grafana/k6
incus,https://github.com/lxc/incus
easyjson,https://github.com/mailru/easyjson
go-micro,https://github.com/micro/go-micro
yq,https://github.com/mikefarah/yq
buildkit,https://github.com/moby/buildkit
moby,https://github.com/moby/moby
mongo-go-driver,https://github.com/mongodb/mongo-go-driver
mosn,https://github.com/mosn/mosn
sops,https://github.com/getsops/sops
echoip,https://github.com/mpolden/echoip
nats-server,https://github.com/nats-io/nats-server
kubernetes-ingress,https://github.com/nginx/kubernetes-ingress
nsq,https://github.com/nsqio/nsq
tablewriter,https://github.com/olekukonko/tablewriter
ginkgo,https://github.com/onsi/ginkgo
runc,https://github.com/opencontainers/runc
runtime-spec,https://github.com/opencontainers/runtime-spec
peco,https://github.com/peco/peco
photoprism,https://github.com/photoprism/photoprism
calico,https://github.com/projectcalico/calico
subfinder,https://github.com/projectdiscovery/subfinder
alertmanager,https://github.com/prometheus/alertmanager
client_golang,https://github.com/prometheus/client_golang
prometheus,https://github.com/prometheus/prometheus
rancher,https://github.com/rancher/rancher
restic,https://github.com/restic/restic
reviewdog,https://github.com/reviewdog/reviewdog
rook,https://github.com/rook/rook
rqlite,https://github.com/rqlite/rqlite
croc,https://github.com/schollz/croc
gopsutil,https://github.com/shirou/gopsutil
logrus,https://github.com/sirupsen/logrus
rpcx,https://github.com/smallnest/rpcx
afero,https://github.com/spf13/afero
testify,https://github.com/stretchr/testify
syncthing,https://github.com/syncthing/syncthing
telepresence,https://github.com/telepresenceio/telepresence
terraform-provider-aws,https://github.com/hashicorp/terraform-provider-aws
thanos,https://github.com/thanos-io/thanos
gron,https://github.com/tomnomnom/gron
cli,https://github.com/urfave/cli
velero,https://github.com/vmware-tanzu/velero
authboss,https://github.com/aarondl/authboss
vugu,https://github.com/vugu/vugu
flagger,https://github.com/fluxcd/flagger
gitleaks,https://github.com/gitleaks/gitleaks
micro,https://github.com/micro-editor/micro
